date,action,ticker
2019-03-01,add,ASLN
2019-03-01,add,ASM
2019-03-01,add,ASMB
2019-03-01,add,ASML
2019-03-01,add,ASND
2019-03-01,add,ASNS
2019-03-01,add,ASPN
2019-03-01,add,ASPS
2019-03-01,add,ASR
2019-03-01,add,ASRT
2019-03-01,add,ASRV
2019-03-01,add,ASRV 8.45 06-30-28
2019-03-01,add,AST
2019-03-01,add,ASTC
2019-03-01,add,ASTE
2019-03-01,add,ASTH
2019-03-01,add,ASTI
2019-03-01,add,ASUR
2019-03-01,add,ASV
2019-03-01,add,ASX
2019-03-01,add,ASXC
2019-03-01,add,ASYS
2019-03-01,add,AT
2019-03-01,add,ATCX
2019-03-01,add,ATCXW
2019-03-01,add,ATEC
2019-03-01,add,ATEN
2019-03-01,add,ATEST-A
2019-03-01,add,ATEST-B
2019-03-01,add,ATEST-C
2019-03-01,add,ATEST-G
2019-03-01,add,ATEST-H
2019-03-01,add,ATEST-L
2019-03-01,add,ATEX
2019-03-01,add,ATGE
2019-03-01,add,ATH
2019-03-01,add,ATHE
2019-03-01,add,ATHM
2019-03-01,add,ATI
2019-03-01,add,ATISW
2019-03-01,add,ATKR
2019-03-01,add,ATLC
2019-03-01,add,ATLO
2019-03-01,add,ATLX
2019-03-01,add,ATMP
2019-03-01,add,ATNI
2019-03-01,add,ATNM
2019-03-01,add,ATO
2019-03-01,add,ATOM
2019-03-01,add,ATOS
2019-03-01,add,ATPC
2019-03-01,add,ATR
2019-03-01,add,ATRA
2019-03-01,add,ATRC
2019-03-01,add,ATRI
2019-03-01,add,ATRO
2019-03-01,add,ATRS
2019-03-01,add,ATS
2019-03-01,add,ATSG
2019-03-01,add,ATTU
2019-03-01,add,ATV
2019-03-01,add,ATVI
2019-03-01,add,ATXG
2019-03-01,add,ATXI
2019-03-01,add,ATXS
2019-03-01,add,ATYR
2019-03-01,add,AU
2019-03-01,add,AUB
2019-03-01,add,AUBN
2019-03-01,add,AUDC
2019-03-01,add,AUID
2019-03-01,add,AULT
2019-03-01,add,AUPH
2019-03-01,add,AUSE
2019-03-01,add,AUSF
2019-03-01,add,AUTL
2019-03-01,add,AUTO
2019-03-01,add,AUY
2019-03-01,add,AVA
2019-03-01,add,AVAL
2019-03-01,add,AVAV
2019-03-01,add,AVB
2019-03-01,add,AVCT
2019-03-01,add,AVCTW
2019-03-01,add,AVD
2019-03-01,add,AVDL
2019-03-01,add,AVDR
2019-03-01,add,AVEO
2019-03-01,add,AVGO
2019-03-01,add,AVGR
2019-03-01,add,AVH
2019-03-01,add,AVHI
2019-03-01,add,AVID
2019-03-01,add,AVK
2019-03-01,add,AVLR
2019-03-01,add,AVNS
2019-03-01,add,AVNT
2019-03-01,add,AVNW
2019-03-01,add,AVP
2019-03-01,add,AVT
2019-03-01,add,AVTA
2019-03-01,add,AVTX
2019-03-01,add,AVX
2019-03-01,add,AVXL
2019-03-01,add,AVY
2019-03-01,add,AVYA
2019-03-01,add,AWAY
2019-03-01,add,AWF
2019-03-01,add,AWI
2019-03-01,add,AWK
2019-03-01,add,AWP
2019-03-01,add,AWR
2019-03-01,add,AWRE
2019-03-01,add,AWTM
2019-03-01,add,AWX
2019-03-01,add,AX
2019-03-01,add,AXE
2019-03-01,add,AXGN
2019-03-01,add,AXIA
2019-03-01,add,AXJL
2019-03-01,add,AXJV
2019-03-01,add,AXL
2019-03-01,add,AXNX
2019-03-01,add,AXO
2019-03-01,add,AXON
2019-03-01,add,AXP
2019-03-01,add,AXR
2019-03-01,add,AXS
2019-03-01,add,AXS-P-D
2019-03-01,add,AXS-P-E
2019-03-01,add,AXSM
2019-03-01,add,AXTA
2019-03-01,add,AXTI
2019-03-01,add,AXU
2019-03-01,add,AY
2019-03-01,add,AYI
2019-03-01,add,AYR
2019-03-01,add,AYTU
2019-03-01,add,AYX
2019-03-01,add,AZN
2019-03-01,add,AZO
2019-03-01,add,AZPN
2019-03-01,add,AZTA
2019-03-01,add,AZUL
2019-03-01,add,AZZ
